Time,Maryland Score,Bowie Score,Event,Team Affected,Player (if applicable)
19:45,0,0,Turnover,Bowie State,Miles Jackson
19:43,0,0,Steal,Maryland,Rasheed Sulaimon
19:41,0,0,Missed Layup,Maryland,Rasheed Sulaimon
19:41,0,0,Offensive Rebound,Maryland,Jake Layman
19:40,0,0,Foul,Bowie State,Justin Beck
19:20,0,0,Missed 3 Pointer,Maryland,Jake Layman
19:20,0,0,Offensive Rebound,Maryland,Robert Carter
19:16,0,0,Missed 3 Pointer,Maryland,Rasheed Sulaimon
19:16,0,0,Defensive Rebound,Bowie State,Miles Jackson
19:02,0,0,Missed 3 Pointer,Bowie State,Andre Jackson
19:02,0,0,Defensive Rebound,Maryland,
18:43,0,0,Turnover,Maryland,Robert Carter
18:29,0,0,Missed Jumper,Bowie State,Justin Beck
18:29,0,0,Defensive Rebound,Maryland,Melo Trimble
18:22,0,0,Turnover,Maryland,Melo Trimble
18:16,0,0,Missed 3 Pointer,Bowie State,Miles Jackson
18:16,0,0,Defensive Rebound,Maryland,Melo Trimble
18:06,0,0,Foul,Bowie State,Enuoma Ebinum
17:56,2,0,Layup,Maryland,Diamond Stone
17:33,2,0,Missed Jumper,Bowie State,Dayshawn Wells
17:33,2,0,Defensive Rebound,Maryland,Robert Carter
17:25,4,0,Layup,Maryland,Diamond Stone
17:25,4,0,Assist,Maryland,Jake Layman
17:10,4,0,Missed Layup,Bowie State,Justin Beck
17:10,4,0,Offensive Rebound,Bowie State,Miles Jackson
17:06,4,2,Tip-In,Bowie State,Miles Jackson
16:49,4,2,Foul,Bowie State,Dayshawn Wells
16:39,6,2,Layup,Maryland,Jake Layman
16:39,6,2,Assist,Maryland,Robert Carter
16:24,6,2,Missed Jumper,Bowie State,Andre Jackson
16:24,6,2,Offensive Rebound,Bowie State,Justin Beck
16:15,6,2,Foul,Maryland,Melo Trimble
16:15,6,2,Missed Free Throw,Bowie State,Enuoma Ebinum
16:15,6,2,Offensive Rebound,Bowie State,
16:15,6,3,Made Free Throw,Bowie State,Enuoma Ebinum
16:15,6,3,Sub In,Maryland,Jared Nickens
16:15,6,3,Sub Out,Maryland,Melo Trimble
16:15,6,3,Sub In,Bowie State,Julian Livingston
16:15,6,3,Sub In,Bowie State,Michael Briscoe
16:15,6,3,Sub Out,Bowie State,Miles Jackson
15:50,6,3,Foul,Bowie State,Enuoma Ebinum
15:50,6,3,Media Timeout,,
